Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Afghanistan,2630,2650,3455,3560,3900,1660,8570,23750,20180,12285,8215
Albania,565,510,645,650,625,285,550,520,655,610,485
Algeria,2830,2820,2635,3225,3705,2720,3080,6175,5245,8255,7595
Andorra,,0,0,,,0,,0,,0,
Angola,30,30,45,35,65,35,150,240,235,205,205
Antigua and Barbuda,55,45,80,90,120,40,120,105,120,70,60
Argentina,225,265,230,275,305,195,410,360,485,440,435
Armenia,305,350,255,205,205,105,95,140,240,215,155
Australia,1470,1705,1865,2175,2140,1180,2080,1265,1260,1000,725
Austria,120,100,105,100,115,65,115,100,100,90,65
Azerbaijan,110,115,115,295,390,195,505,350,245,210,135
Azores,0,0,0,0,0,0,0,,0,0,0
"Bahama Islands, The",80,80,120,180,205,110,370,275,400,380,275
Bahrain,35,20,35,45,45,15,25,20,30,20,20
Bangladesh,3305,3230,3190,3205,3395,1620,3000,4055,5020,4535,3170
Barbados,145,140,200,185,260,135,255,185,265,245,170
Belarus,210,350,305,255,235,130,180,145,220,290,215
Belgium,370,460,510,410,465,340,570,610,545,485,515
Belize,30,65,80,80,60,50,90,50,70,60,55
"Benin, Republic of",260,300,195,485,335,230,345,650,690,865,945
Bermuda,0,0,0,0,,,0,,0,0,0
Bhutan,410,120,65,25,15,,20,20,50,35,45
Bolivia,75,115,100,120,120,95,155,125,130,220,145
Bosnia-Herzegovina,185,140,105,155,110,55,85,75,80,75,40
"Botswana, Republic of",95,65,75,60,60,30,45,40,40,30,20
Brazil,1730,1730,2760,3950,5290,3695,11425,7335,7225,5985,5105
Brunei,5,5,10,,,5,10,5,5,,
Bulgaria,365,370,300,180,165,100,175,145,135,100,60
Burkina-Faso,235,285,265,305,240,180,330,505,435,515,695
Burundi,945,635,805,1090,1560,805,1265,1580,1030,1285,1230
Cambodia,205,255,225,200,235,150,115,215,175,175,115
"Cameroon, Federal Republic of",2030,2100,2285,2275,2950,1595,2565,6270,11685,21205,22915
Cape Verde Islands,,,,0,,,10,15,,,
Central African Republic,460,100,230,240,380,110,110,895,350,255,350
"Chad, Republic of",85,100,120,200,180,70,220,240,260,300,335
Chile,260,250,310,370,455,305,770,600,745,865,830
"China, People's Republic of",19460,26790,30250,29715,30245,16525,31015,31865,31785,29970,21095
Colombia,2180,2435,2235,2270,2275,1520,4055,3775,4660,8865,6490
Comoros,10,10,10,10,5,10,10,20,15,20,20
"Congo, Democratic Republic of the",1675,2480,2355,2385,2295,865,1820,3250,5320,4380,4270
"Congo, People's Republic of the",145,200,160,205,175,85,215,290,250,230,325
Costa Rica,120,140,135,165,180,105,250,195,265,190,210
Croatia,505,630,580,535,430,220,255,185,150,110,55
Cuba,825,1115,880,780,595,410,680,825,1040,875,980
Curacao,0,0,0,0,0,0,,0,0,0,0
Cyprus,25,15,15,25,15,5,30,10,10,10,15
Czech Republic,280,325,315,400,375,205,355,185,215,170,160
Denmark,80,80,95,95,75,75,120,60,70,55,45
"Djibouti, Republic of",145,270,185,200,255,360,290,320,310,195,170
Dominica,30,30,35,40,35,30,50,40,50,65,25
Dominican Republic,600,605,655,780,660,395,955,895,735,765,765
"East Timor, Democratic Republic of",0,,0,0,0,0,,0,,0,0
Ecuador,215,255,210,290,290,160,595,485,775,685,575
Egypt,3760,3085,2865,3515,3655,1905,3220,2890,2515,2620,1950
El Salvador,660,625,720,680,735,465,850,645,555,545,545
"Equatorial Guinea, Republic of",0,10,,5,,,,,,,10
Eritrea,2210,4655,4690,5695,7030,2645,5380,7660,10680,16600,12340
Estonia,50,50,35,45,40,15,50,15,20,15,10
Ethiopia,1355,1930,1910,2025,2475,1100,2150,2665,3820,4245,4440
Fiji,220,190,155,155,160,65,75,90,115,95,95
Finland,85,90,105,90,110,80,120,70,100,60,85
France,5850,6390,6625,6175,4960,4605,12690,14150,10075,9945,11965
French Polynesia,0,0,0,0,0,0,0,,0,0,0
Gabon Republic,60,50,45,45,45,20,50,80,90,150,175
Gambia,40,50,60,65,50,35,90,65,115,115,100
Georgia,105,120,135,155,180,105,220,235,225,280,210
Germany,1275,1210,1145,1280,1520,785,1445,900,1155,930,685
Ghana,365,480,685,895,1025,545,1055,1240,1645,1610,1805
Greece,480,430,405,415,410,245,415,260,310,245,175
Grenada,115,115,120,110,80,50,105,115,70,85,65
Guadeloupe,0,0,0,0,0,0,0,,0,0,0
Guatemala,240,200,245,225,205,140,295,310,275,285,335
"Guinea, Republic of",245,410,380,350,320,200,395,525,520,620,770
Guinea-Bissau,5,5,,5,,,,5,10,5,5
Guyana,540,510,430,420,410,220,485,445,465,380,295
Haiti,2720,2930,2345,2100,1455,990,2870,4400,3020,5180,5360
Holy See,0,0,0,0,0,0,0,,0,0,0
Honduras,420,360,380,385,320,205,415,375,430,455,450
Hong Kong SAR,895,1360,1360,1525,1540,1045,2290,3695,7535,3510,295
Hungary,760,520,690,750,800,600,740,425,370,310,210
Iceland,30,15,25,35,45,5,15,15,15,15,15
India,39340,39710,51590,69985,85590,42875,127945,118250,139790,127375,98770
"Indonesia, Republic of",375,445,500,445,510,300,605,475,630,480,420
Iran,11640,6475,4730,5510,6055,3815,11305,11110,10680,11150,7435
Iraq,3975,2415,4740,5330,4445,1950,2690,3475,2335,1660,1905
